year,Country,type,CV_idea,Turnout_idea,cv_change,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lead1,lead2,lead3,lead4,lead5,lead6,lead7,lead8,lead9,lead10,Population,interval,cid
1991,Benin,Presidential,0.0,60.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4889000,[1985-1994],19
1996,Benin,Presidential,0.0,82.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5717000,[1995-2004],19
2001,Benin,Presidential,0.0,70.955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6395919,[1995-2004],19
2006,Benin,Presidential,0.0,75.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7862944,[2005-2014],19
2011,Benin,Presidential,0.0,84.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,9325032,[2005-2014],19
2016,Benin,Presidential,0.0,66.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,10741458,[2015-2024],19
2021,Benin,Presidential,0.0,50.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,13301694,[2015-2024],19
1996,Bosnia and Herzegovina,Presidential,0.0,60.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3640000,[1995-2004],23
1998,Bosnia and Herzegovina,Presidential,0.0,70.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4022835,[1995-2004],23
2002,Bosnia and Herzegovina,Presidential,0.0,55.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3964388,[1995-2004],23
2006,Bosnia and Herzegovina,Presidential,0.0,50.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4498976,[2005-2014],23
2010,Bosnia and Herzegovina,Presidential,0.0,56.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,4621598,[2005-2014],23
2014,Bosnia and Herzegovina,Presidential,0.0,54.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3871643,[2005-2014],23
2018,Bosnia and Herzegovina,Presidential,0.0,54.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3849891,[2015-2024],23
2022,Bosnia and Herzegovina,Presidential,0.0,51.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,3816459,[2015-2024],23
1992,Bulgaria,Presidential,0.0,75.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,,8540000,[1985-1994],26
1996,Bulgaria,Presidential,0.0,62.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,8364000,[1995-2004],26
2001,Bulgaria,Presidential,0.0,48.275000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,,7932984,[1995-2004],26
2006,Bulgaria,Presidential,0.0,43.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,,,,,7385367,[2005-2014],26
2011,Bulgaria,Presidential,0.0,50.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,,,,,7093635,[2005-2014],26
2016,Bulgaria,Presidential,1.0,53.36,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,7144653,[2015-2024],26
2021,Bulgaria,Presidential,1.0,36.545,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,6919180,[2015-2024],26
1991,Burkina Faso,Presidential,0.0,35.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,9191000,[1985-1994],27
1998,Burkina Faso,Presidential,0.0,56.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,11123673,[1995-2004],27
2005,Burkina Faso,Presidential,0.0,57.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,13925313,[2005-2014],27
2010,Burkina Faso,Presidential,0.0,54.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,16241811,[2005-2014],27
2015,Burkina Faso,Presidential,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,18931686,[2015-2024],27
2020,Burkina Faso,Presidential,0.0,50.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,20835401,[2015-2024],27
1993,Burundi,Presidential,0.0,97.31,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,5958000,[1985-1994],28
2010,Burundi,Presidential,0.0,76.98,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,9863117,[2005-2014],28
2015,Burundi,Presidential,0.0,73.44,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,10742276,[2015-2024],28
2020,Burundi,Presidential,0.0,87.71,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,11865821,[2015-2024],28
2001,Cabo Verde,Presidential,0.0,55.31,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,436530,[1995-2004],29
2006,Cabo Verde,Presidential,0.0,53.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,475947,[2005-2014],29
2011,Cabo Verde,Presidential,0.0,56.685,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,516197,[2005-2014],29
2016,Cabo Verde,Presidential,0.0,35.47,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,553432,[2015-2024],29
2021,Cabo Verde,Presidential,0.0,47.96,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,589451,[2015-2024],29
1988,Cameroon,Presidential,0.0,91.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,10883000,[1985-1994],31
1992,Cameroon,Presidential,0.0,71.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,12184000,[1985-1994],31
1997,Cameroon,Presidential,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,13985000,[1995-2004],31
2004,Cameroon,Presidential,0.0,79.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,16063678,[1995-2004],31
2011,Cameroon,Presidential,0.0,68.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,20129878,[2005-2014],31
2018,Cameroon,Presidential,0.0,53.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,25640965,[2015-2024],31
1993,Central African Republic,Presidential,0.0,62.265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3156000,[1985-1994],34
1999,Central African Republic,Presidential,0.0,59.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3133426,[1995-2004],34
2005,Central African Republic,Presidential,0.0,69.99000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3742482,[2005-2014],34
2011,Central African Republic,Presidential,0.0,61.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4950027,[2005-2014],34
2015,Central African Republic,Presidential,0.0,62.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5391539,[2015-2024],34
2016,Central African Republic,Presidential,0.0,59.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4950027,[2015-2024],34
2020,Central African Republic,Presidential,0.0,35.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5990855,[2015-2024],34
1996,Chad,Presidential,0.0,72.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,6559000,[1995-2004],35
2001,Chad,Presidential,0.0,61.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,7689365,[1995-2004],35
2006,Chad,Presidential,0.0,53.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,9944201,[2005-2014],35
2011,Chad,Presidential,0.0,55.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,10758945,[2005-2014],35
2016,Chad,Presidential,0.0,65.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,11852462,[2015-2024],35
2021,Chad,Presidential,0.0,63.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,17414108,[2015-2024],35
1946,Chile,Presidential,1.0,75.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5430000,[1945-1954],36
1952,Chile,Presidential,1.0,86.61,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5931000,[1945-1954],36
1958,Chile,Presidential,1.0,83.5,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7316000,[1955-1964],36
1964,Chile,Presidential,1.0,86.81,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,8492000,[1955-1964],36
1970,Chile,Presidential,1.0,83.47,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,9720000,[1965-1974],36
1989,Chile,Presidential,1.0,94.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,12961000,[1985-1994],36
1993,Chile,Presidential,1.0,90.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,13813000,[1985-1994],36
1999,Chile,Presidential,1.0,89.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,15155741,[1995-2004],36
2000,Chile,Presidential,1.0,90.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,15155741,[1995-2004],36
2005,Chile,Presidential,1.0,87.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16150835,[2005-2014],36
2006,Chile,Presidential,1.0,87.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16150835,[2005-2014],36
2009,Chile,Presidential,1.0,87.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16746491,[2005-2014],36
2010,Chile,Presidential,1.0,86.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16746491,[2005-2014],36
2013,Chile,Presidential,0.0,45.665,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17216945,[2005-2014],36
2017,Chile,Presidential,0.0,47.870000000000005,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17789267,[2015-2024],36
2021,Chile,Presidential,0.0,51.485,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18307925,[2015-2024],36
1990,Colombia,Presidential,0.0,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,32300000,[1985-1994],37
1994,Colombia,Presidential,0.0,38.635000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,34520000,[1985-1994],37
1998,Colombia,Presidential,0.0,55.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,36453120,[1995-2004],37
2002,Colombia,Presidential,0.0,46.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,40349388,[1995-2004],37
2006,Colombia,Presidential,0.0,45.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,43593035,[2005-2014],37
2010,Colombia,Presidential,0.0,46.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,44205293,[2005-2014],37
2014,Colombia,Presidential,0.0,44.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,46245297,[2005-2014],37
2018,Colombia,Presidential,0.0,53.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,48168996,[2015-2024],37
2022,Colombia,Presidential,0.0,56.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,50873612,[2015-2024],37
1990,Comoros,Presidential,0.0,60.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,543000,[1985-1994],38
1996,Comoros,Presidential,0.0,61.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,676000,[1995-2004],38
2002,Comoros,Presidential,0.0,76.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,596202,[1995-2004],38
2006,Comoros,Presidential,0.0,57.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,690948,[2005-2014],38
2010,Comoros,Presidential,0.0,52.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,773407,[2005-2014],38
2016,Comoros,Presidential,0.0,67.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,794678,[2015-2024],38
2019,Comoros,Presidential,0.0,53.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,833909,[2015-2024],38
1992,Croatia,Presidential,0.0,74.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4789000,[1985-1994],42
1997,Croatia,Presidential,0.0,54.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4481000,[1995-2004],42
2000,Croatia,Presidential,0.0,61.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4584831,[1995-2004],42
